Soil_Type,Soil_pH,Moisture_Level,Season,Location_Region,Previous_Crop,Recommended_Crop
Black,6.5,Low,Kharif,Telangana,Cotton,Wheat
Loamy,7.73,Low,Rabi,Uttar Pradesh,Groundnut,Soybean
Clay,8.4,Medium,Kharif,Haryana,Pulses,Rice
Sandy,7.78,High,Rabi,Punjab,Maize,Cumin
Alluvial,4.75,High,Winter,Kerala,Maize,Soybean
Loamy,7.09,Medium,Zaid,Maharashtra,Groundnut,Groundnut
Red,7.03,Low,Winter,Punjab,Groundnut,Wheat
Alluvial,8.02,Low,Winter,Maharashtra,Sugarcane,Pulses
Black,7.44,High,Kharif,Telangana,Wheat,Rice
Sandy,7.53,Medium,Summer,Gujarat,Groundnut,Soybean
Black,7.65,Medium,Zaid,Punjab,None,Rice
Loamy,7.31,Low,Zaid,Punjab,Sugarcane,Wheat
Laterite,8.31,High,Winter,Punjab,Cotton,Rice
Laterite,7.9,Low,Winter,Punjab,Wheat,Wheat
Sandy,5.94,High,Kharif,Haryana,None,Soybean
Laterite,7.16,Medium,Summer,Maharashtra,Cotton,Maize
Alluvial,6.24,Low,Winter,Haryana,Rice,Wheat
Laterite,5.73,Medium,Summer,Tamil Nadu,Pulses,Rice
Red,6.36,Low,Zaid,Tamil Nadu,Pulses,Cumin
Clay,4.96,Medium,Summer,Tamil Nadu,Pulses,Rice
Laterite,6.72,Medium,Summer,Gujarat,Maize,Groundnut
Clay,5.35,High,Rabi,Maharashtra,Cotton,Groundnut
Red,7.62,Medium,Winter,Tamil Nadu,Pulses,Pulses
Sandy,6.09,Medium,Winter,Punjab,None,Banana
Black,7.21,Low,Summer,Karnataka,Rice,Banana
Loamy,7.02,Medium,Winter,Haryana,Rice,Rice
Alluvial,5.98,High,Rabi,Uttar Pradesh,Rice,Groundnut
Loamy,4.84,Low,Rabi,Kerala,Cotton,Maize
Laterite,7.29,Low,Summer,Gujarat,None,Maize
Red,6.46,Medium,Kharif,Bihar,None,Sugarcane
Laterite,6.64,Medium,Winter,Bihar,Cotton,Banana
Alluvial,6.15,High,Rabi,Maharashtra,None,Cotton
Loamy,6.51,High,Winter,Karnataka,Groundnut,Sugarcane
Laterite,6.38,High,Summer,Maharashtra,Rice,Rice
Clay,8.23,Medium,Summer,Telangana,Sugarcane,Sugarcane
Black,7.24,Low,Summer,Telangana,Rice,Groundnut
Loamy,5.21,Medium,Kharif,Haryana,Wheat,Soybean
Sandy,6.56,Medium,Rabi,Bihar,Pulses,Cumin
Black,7.24,Medium,Zaid,Gujarat,Groundnut,Cumin
Laterite,5.63,Medium,Rabi,Uttar Pradesh,Wheat,Rice
Alluvial,7.6,Medium,Rabi,Haryana,Rice,Wheat
Red,7.55,Low,Rabi,Tamil Nadu,Groundnut,Cumin
Loamy,5.83,High,Kharif,Karnataka,Sugarcane,Maize
Sandy,8.01,Low,Kharif,Uttar Pradesh,Pulses,Pulses
Loamy,7.02,High,Summer,Tamil Nadu,None,Maize
Red,5.62,High,Summer,Kerala,Sugarcane,Rice
Alluvial,7.88,Low,Summer,Tamil Nadu,Cotton,Pulses
Alluvial,4.86,High,Summer,Kerala,Groundnut,Cotton
Sandy,6.41,High,Summer,Punjab,Sugarcane,Rice
Alluvial,6.83,Low,Kharif,Karnataka,Cotton,Sugarcane
Red,7.65,Low,Kharif,Maharashtra,Wheat,Sugarcane
Loamy,4.88,High,Kharif,Uttar Pradesh,Sugarcane,Sugarcane
Clay,4.61,High,Rabi,Uttar Pradesh,None,Sugarcane
Sandy,6.83,Low,Zaid,Uttar Pradesh,Rice,Sugarcane
Alluvial,7.63,Medium,Winter,Gujarat,Groundnut,Pulses
Laterite,7.86,Medium,Zaid,Gujarat,None,Pulses
Loamy,5.8,High,Zaid,Tamil Nadu,Pulses,Soybean
Loamy,7.58,Low,Zaid,Tamil Nadu,Maize,Pulses
Red,8.35,Low,Winter,Gujarat,None,Maize
Clay,7.16,Medium,Kharif,Karnataka,Groundnut,Sugarcane
Clay,6.91,High,Zaid,Tamil Nadu,Wheat,Cotton
Red,4.96,Low,Zaid,Maharashtra,Maize,Cumin
Black,7.12,Medium,Zaid,Maharashtra,Pulses,Banana
Black,6.04,Medium,Rabi,Uttar Pradesh,Maize,Maize
Clay,7.46,Medium,Summer,Uttar Pradesh,Pulses,Cotton
Laterite,6.88,Low,Rabi,Punjab,Groundnut,Cumin
Black,4.93,Low,Zaid,Haryana,Maize,Rice
Black,6.9,Low,Winter,Haryana,Sugarcane,Cotton
Alluvial,7.85,Low,Rabi,Karnataka,Groundnut,Wheat
Black,6.78,Medium,Kharif,Punjab,Wheat,Pulses
Red,5.95,High,Summer,Tamil Nadu,Pulses,Soybean
Loamy,5.27,High,Winter,Bihar,None,Groundnut
Red,7.3,Medium,Winter,Kerala,Rice,Cotton
Sandy,6.65,High,Rabi,Haryana,Pulses,Cotton
Laterite,5.84,Low,Winter,Tamil Nadu,Wheat,Cotton
Laterite,7.04,Medium,Winter,Haryana,Pulses,Cumin
Alluvial,7.64,Medium,Summer,Punjab,None,Groundnut
Laterite,7.32,High,Winter,Gujarat,Maize,Cumin
Clay,4.8,High,Rabi,Punjab,None,Cumin
Clay,6.1,High,Zaid,Gujarat,Groundnut,Groundnut
Red,6.21,Medium,Zaid,Punjab,None,Rice
Red,7.72,Medium,Winter,Uttar Pradesh,Rice,Sugarcane
Clay,5.79,Low,Kharif,Karnataka,Cotton,Cumin
Sandy,6.56,Low,Winter,Karnataka,Pulses,Maize
Sandy,7.58,Low,Zaid,Telangana,Pulses,Maize
Clay,7.2,Medium,Zaid,Telangana,None,Groundnut
Sandy,5.02,Medium,Kharif,Haryana,Rice,Maize
Alluvial,4.56,Medium,Winter,Haryana,Pulses,Wheat
Sandy,7.78,Medium,Rabi,Uttar Pradesh,Pulses,Cotton
Black,7.23,Low,Kharif,Tamil Nadu,None,Maize
Alluvial,6.54,Medium,Zaid,Haryana,Groundnut,Banana
Loamy,4.91,Low,Rabi,Kerala,Wheat,Pulses
Red,6.44,High,Rabi,Gujarat,Rice,Groundnut
Loamy,6.96,Low,Winter,Tamil Nadu,Wheat,Cotton
Loamy,5.41,Medium,Winter,Kerala,None,Wheat
Black,4.82,Medium,Winter,Gujarat,Rice,Groundnut
Clay,5.94,Low,Rabi,Karnataka,Groundnut,Banana
Red,6.84,High,Winter,Uttar Pradesh,Groundnut,Groundnut
Clay,5.89,Low,Winter,Bihar,Cotton,Groundnut
Alluvial,5.39,Low,Zaid,Kerala,Wheat,Pulses
Red,4.7,High,Kharif,Telangana,Rice,Banana
Black,4.53,Medium,Rabi,Punjab,Cotton,Banana
Sandy,7.42,Medium,Kharif,Kerala,Pulses,Wheat
Sandy,5.85,Medium,Zaid,Kerala,Maize,Wheat
Black,4.79,Medium,Rabi,Haryana,Pulses,Wheat
Sandy,6.33,Low,Summer,Haryana,Rice,Banana
Sandy,4.82,High,Kharif,Haryana,Rice,Cotton
Red,4.72,Low,Summer,Punjab,None,Cotton
Clay,6.01,Low,Kharif,Maharashtra,Rice,Sugarcane
Alluvial,6.89,High,Summer,Gujarat,Cotton,Banana
Loamy,6.3,Medium,Summer,Bihar,Pulses,Rice
Clay,6.12,High,Winter,Maharashtra,Rice,Rice
Red,7.11,High,Summer,Kerala,Pulses,Cotton
Clay,7.28,Low,Rabi,Uttar Pradesh,Maize,Wheat
Laterite,7.28,Low,Winter,Gujarat,Pulses,Banana
Sandy,6.12,Low,Rabi,Kerala,Maize,Rice
Laterite,5.26,Low,Winter,Bihar,Pulses,Wheat
Laterite,7.05,Low,Summer,Kerala,Sugarcane,Soybean
Laterite,6.33,Low,Zaid,Maharashtra,Groundnut,Pulses
Red,6.14,Medium,Winter,Tamil Nadu,None,Maize
Black,7.29,Medium,Winter,Uttar Pradesh,Pulses,Maize
Black,5.69,High,Summer,Gujarat,Sugarcane,Rice
Alluvial,4.76,Medium,Rabi,Maharashtra,Sugarcane,Wheat
Alluvial,8.06,Low,Rabi,Uttar Pradesh,Sugarcane,Cotton
Loamy,4.56,Medium,Summer,Kerala,Pulses,Pulses
Laterite,5.01,Medium,Rabi,Punjab,Pulses,Maize
Red,5.3,Low,Kharif,Gujarat,Groundnut,Cumin
Alluvial,4.69,High,Kharif,Kerala,Rice,Groundnut
Clay,7.33,Medium,Winter,Punjab,Maize,Cumin
Red,8.04,High,Summer,Karnataka,Cotton,Soybean
Alluvial,8.14,High,Zaid,Gujarat,Maize,Groundnut
Alluvial,8.34,Medium,Kharif,Haryana,Maize,Sugarcane
Black,5.18,Low,Winter,Kerala,None,Groundnut
Red,5.54,High,Summer,Punjab,None,Sugarcane
Laterite,5.51,High,Summer,Uttar Pradesh,Rice,Groundnut
Sandy,5.28,High,Kharif,Kerala,Groundnut,Wheat
Sandy,4.55,Low,Rabi,Karnataka,Wheat,Wheat
Alluvial,7.47,Medium,Zaid,Karnataka,None,Rice
Red,7.31,High,Kharif,Tamil Nadu,Sugarcane,Groundnut
Alluvial,8.49,High,Winter,Tamil Nadu,Pulses,Rice
Alluvial,7.52,High,Kharif,Uttar Pradesh,None,Wheat
Sandy,6.79,Low,Winter,Haryana,Cotton,Cotton
Clay,5.54,Low,Zaid,Bihar,Pulses,Soybean
Laterite,7.65,High,Zaid,Maharashtra,Cotton,Cumin
Black,5.64,Medium,Zaid,Maharashtra,Sugarcane,Pulses
Sandy,5.66,Low,Rabi,Tamil Nadu,Pulses,Cotton
Alluvial,5.59,High,Winter,Tamil Nadu,Groundnut,Soybean
Loamy,7.0,High,Winter,Tamil Nadu,Maize,Rice
Clay,7.85,Medium,Kharif,Tamil Nadu,Wheat,Cumin
Black,5.86,Medium,Kharif,Bihar,Pulses,Groundnut
Clay,6.99,Medium,Summer,Tamil Nadu,Pulses,Pulses
Sandy,6.18,High,Kharif,Gujarat,Wheat,Wheat
Red,6.3,Medium,Kharif,Haryana,Maize,Rice
Clay,6.99,Medium,Kharif,Maharashtra,Sugarcane,Pulses
Red,6.48,High,Rabi,Haryana,Rice,Wheat
Red,4.72,High,Winter,Gujarat,Cotton,Maize
Black,7.59,High,Summer,Bihar,Sugarcane,Pulses
Laterite,5.1,High,Kharif,Tamil Nadu,Cotton,Wheat
Loamy,5.96,Low,Kharif,Karnataka,Wheat,Wheat
Loamy,6.11,Low,Zaid,Uttar Pradesh,Sugarcane,Groundnut
Sandy,8.3,High,Winter,Gujarat,Pulses,Maize
Black,7.54,High,Summer,Maharashtra,Cotton,Cotton
Alluvial,7.63,Low,Zaid,Maharashtra,Maize,Pulses
Alluvial,5.89,Low,Rabi,Haryana,Maize,Cumin
Black,6.93,Low,Rabi,Karnataka,Cotton,Rice
Black,8.17,Low,Zaid,Telangana,Pulses,Pulses
Clay,8.18,Medium,Winter,Uttar Pradesh,Wheat,Banana
Clay,7.1,Low,Winter,Punjab,Sugarcane,Soybean
Red,7.96,Medium,Winter,Tamil Nadu,Cotton,Maize
Clay,7.77,Low,Zaid,Telangana,Rice,Cumin
Alluvial,7.07,High,Kharif,Bihar,None,Rice
Laterite,4.85,Medium,Winter,Karnataka,None,Cumin
Clay,5.28,Medium,Summer,Punjab,Cotton,Maize
Alluvial,7.01,Low,Summer,Bihar,Sugarcane,Sugarcane
Black,4.8,High,Kharif,Kerala,Wheat,Rice
Sandy,6.93,Medium,Zaid,Haryana,None,Cumin
Sandy,4.6,Medium,Summer,Kerala,Pulses,Wheat
Alluvial,5.81,Medium,Zaid,Maharashtra,Maize,Groundnut
Alluvial,7.98,Medium,Zaid,Maharashtra,Rice,Wheat
Laterite,5.55,High,Rabi,Telangana,Rice,Sugarcane
Sandy,5.97,Low,Zaid,Uttar Pradesh,Wheat,Pulses
Alluvial,8.5,Medium,Winter,Kerala,Maize,Pulses
Black,6.9,Medium,Summer,Punjab,Rice,Cumin
Red,8.0,Low,Zaid,Kerala,Maize,Cotton
Red,5.59,Medium,Kharif,Uttar Pradesh,Sugarcane,Groundnut
Red,5.27,Medium,Rabi,Gujarat,Maize,Wheat
Alluvial,5.12,High,Kharif,Maharashtra,Sugarcane,Rice
Alluvial,6.91,Medium,Winter,Haryana,None,Banana
Clay,8.33,Low,Rabi,Bihar,Groundnut,Pulses
Black,5.67,High,Zaid,Tamil Nadu,Sugarcane,Rice
Alluvial,6.72,High,Winter,Gujarat,None,Maize
Sandy,6.83,Medium,Kharif,Gujarat,Wheat,Groundnut
Black,5.59,High,Rabi,Tamil Nadu,Cotton,Rice
Alluvial,7.61,High,Kharif,Haryana,Wheat,Cumin
Red,5.22,Low,Zaid,Kerala,Cotton,Wheat
Clay,4.7,Low,Zaid,Uttar Pradesh,Rice,Sugarcane
Sandy,5.06,High,Rabi,Kerala,Groundnut,Banana
Clay,7.89,High,Kharif,Uttar Pradesh,Groundnut,Pulses
Black,7.06,Low,Kharif,Karnataka,Rice,Maize
Laterite,7.18,Low,Rabi,Kerala,Cotton,Pulses
Alluvial,7.51,Low,Kharif,Maharashtra,Cotton,Soybean
Loamy,6.58,Low,Zaid,Maharashtra,Wheat,Pulses
Sandy,6.43,High,Zaid,Kerala,None,Rice
Red,7.36,Medium,Summer,Kerala,Maize,Pulses
Alluvial,6.53,Low,Kharif,Telangana,Cotton,Cotton
Sandy,6.53,Medium,Summer,Tamil Nadu,Maize,Banana
Laterite,7.73,Low,Summer,Karnataka,Sugarcane,Banana
Black,7.01,Low,Rabi,Gujarat,Wheat,Cumin
Laterite,5.47,High,Zaid,Kerala,Rice,Wheat
Red,5.01,Medium,Summer,Tamil Nadu,Sugarcane,Cumin
Sandy,7.28,Low,Kharif,Kerala,Groundnut,Pulses
Laterite,6.79,High,Zaid,Punjab,Maize,Maize
Sandy,7.71,High,Kharif,Telangana,Sugarcane,Maize
Sandy,8.26,Low,Kharif,Uttar Pradesh,Rice,Maize
Alluvial,7.76,High,Kharif,Telangana,Pulses,Banana
Laterite,4.58,Low,Zaid,Bihar,Groundnut,Cotton
Red,6.15,Medium,Summer,Gujarat,None,Banana
Sandy,5.07,Low,Kharif,Tamil Nadu,Rice,Sugarcane
Black,8.26,High,Summer,Gujarat,None,Cotton
Clay,6.1,High,Summer,Haryana,Pulses,Sugarcane
Clay,5.98,High,Rabi,Punjab,Sugarcane,Groundnut
Loamy,6.93,Medium,Kharif,Tamil Nadu,Wheat,Sugarcane
Black,5.45,Low,Winter,Bihar,Groundnut,Groundnut
Loamy,5.77,Low,Rabi,Uttar Pradesh,Pulses,Sugarcane
Red,6.88,Low,Summer,Maharashtra,Groundnut,Pulses
Laterite,6.47,Medium,Rabi,Telangana,Maize,Wheat
Red,6.75,Low,Summer,Kerala,Groundnut,Sugarcane
Loamy,5.94,Medium,Kharif,Tamil Nadu,Pulses,Banana
Sandy,4.91,Medium,Zaid,Kerala,Wheat,Banana
Laterite,5.25,High,Rabi,Tamil Nadu,Pulses,Cumin
Black,5.65,High,Kharif,Punjab,Rice,Maize
Alluvial,6.54,Low,Summer,Maharashtra,Cotton,Groundnut
Sandy,8.26,Medium,Zaid,Telangana,Wheat,Maize
Red,4.92,Low,Rabi,Maharashtra,Wheat,Banana
Red,4.62,Low,Winter,Gujarat,Rice,Maize
Sandy,7.91,High,Winter,Gujarat,Cotton,Cotton
Laterite,8.47,High,Winter,Maharashtra,Maize,Maize
Laterite,7.3,Medium,Winter,Uttar Pradesh,Sugarcane,Cumin
Loamy,6.5,Medium,Rabi,Karnataka,Wheat,Cotton
Clay,6.36,Low,Zaid,Punjab,Groundnut,Cumin
Loamy,4.92,Low,Summer,Gujarat,Groundnut,Pulses
Alluvial,6.89,High,Zaid,Punjab,Maize,Pulses
Clay,4.62,Low,Summer,Bihar,Wheat,Rice
Red,6.78,High,Zaid,Uttar Pradesh,Cotton,Wheat
Alluvial,4.73,Medium,Kharif,Haryana,Wheat,Maize
Laterite,8.49,High,Kharif,Karnataka,Wheat,Soybean
Alluvial,6.27,Medium,Kharif,Karnataka,Pulses,Maize
Loamy,4.89,Low,Zaid,Telangana,Pulses,Cotton
Sandy,5.07,High,Kharif,Gujarat,Maize,Wheat
Clay,6.5,High,Kharif,Karnataka,None,Soybean
Loamy,6.48,Low,Rabi,Punjab,Rice,Rice
Sandy,5.54,Medium,Zaid,Uttar Pradesh,None,Sugarcane
Clay,8.13,High,Rabi,Telangana,Maize,Rice
Alluvial,4.58,High,Summer,Bihar,Pulses,Cotton
Sandy,5.2,Low,Summer,Bihar,Maize,Pulses
Loamy,7.47,High,Zaid,Telangana,Pulses,Wheat
Loamy,6.37,Low,Rabi,Bihar,Pulses,Groundnut
Alluvial,7.37,Low,Winter,Bihar,None,Wheat
Sandy,7.92,Medium,Summer,Telangana,Pulses,Soybean
Laterite,6.43,Low,Zaid,Telangana,Cotton,Groundnut
Black,6.2,High,Zaid,Telangana,Maize,Sugarcane
Laterite,7.46,Low,Rabi,Karnataka,Groundnut,Wheat
Alluvial,6.1,Medium,Winter,Tamil Nadu,Pulses,Groundnut
Black,4.78,Low,Zaid,Uttar Pradesh,Groundnut,Cumin
Black,6.17,High,Kharif,Karnataka,Wheat,Groundnut
Black,6.73,Low,Rabi,Gujarat,Pulses,Pulses
Sandy,7.6,Low,Winter,Kerala,None,Cumin
Sandy,7.77,High,Rabi,Kerala,Wheat,Pulses
Black,4.6,High,Kharif,Haryana,Pulses,Soybean
Sandy,8.0,High,Kharif,Punjab,Rice,Wheat
Alluvial,5.11,Medium,Kharif,Telangana,Rice,Soybean
Red,8.14,High,Zaid,Uttar Pradesh,Rice,Rice
Sandy,5.73,Low,Summer,Haryana,Sugarcane,Cumin
Loamy,8.32,High,Rabi,Haryana,Wheat,Cumin
Loamy,7.67,Low,Summer,Tamil Nadu,Pulses,Maize
Red,7.06,Low,Winter,Tamil Nadu,Wheat,Cotton
Laterite,4.95,High,Zaid,Maharashtra,Sugarcane,Maize
Sandy,7.83,High,Zaid,Telangana,Groundnut,Sugarcane
Clay,5.64,Medium,Summer,Haryana,Maize,Cotton
Red,4.77,Low,Rabi,Tamil Nadu,Groundnut,Rice
Loamy,6.36,Medium,Rabi,Gujarat,None,Cotton
Clay,7.59,Low,Rabi,Telangana,Sugarcane,Sugarcane
Sandy,6.54,High,Rabi,Telangana,Groundnut,Rice
Red,6.66,High,Winter,Bihar,None,Rice
Loamy,6.47,High,Summer,Karnataka,Cotton,Pulses
Black,5.03,Low,Zaid,Uttar Pradesh,Rice,Maize
Alluvial,6.45,High,Summer,Bihar,Maize,Wheat
Loamy,8.34,Medium,Winter,Tamil Nadu,Pulses,Pulses
Red,5.53,Medium,Winter,Tamil Nadu,Wheat,Wheat
Black,5.88,Low,Rabi,Gujarat,Pulses,Banana
Loamy,8.11,Medium,Zaid,Tamil Nadu,Groundnut,Cumin
Loamy,4.74,High,Winter,Karnataka,Wheat,Wheat
Red,5.37,Low,Summer,Maharashtra,Maize,Banana
Sandy,6.52,Medium,Kharif,Kerala,Sugarcane,Maize
Sandy,5.53,High,Kharif,Maharashtra,Cotton,Maize
Loamy,7.11,Medium,Kharif,Punjab,Cotton,Wheat
Alluvial,7.6,Low,Rabi,Uttar Pradesh,None,Wheat
Laterite,7.5,Medium,Zaid,Kerala,Sugarcane,Sugarcane
Black,7.58,High,Zaid,Uttar Pradesh,Groundnut,Soybean
Loamy,7.25,High,Winter,Haryana,Maize,Pulses
Black,4.79,High,Zaid,Punjab,Sugarcane,Maize
Laterite,5.29,High,Winter,Telangana,Groundnut,Wheat
Black,5.98,High,Rabi,Gujarat,Wheat,Pulses
Clay,6.76,High,Zaid,Maharashtra,Groundnut,Sugarcane
Alluvial,8.03,High,Rabi,Punjab,Wheat,Soybean
Loamy,8.13,Low,Kharif,Bihar,Cotton,Pulses
Clay,8.48,Medium,Kharif,Gujarat,Wheat,Sugarcane
Laterite,6.6,High,Kharif,Gujarat,None,Cotton
Black,5.22,High,Rabi,Uttar Pradesh,Sugarcane,Pulses
Black,6.74,High,Winter,Kerala,Cotton,Banana
Laterite,7.25,Medium,Summer,Bihar,Groundnut,Groundnut
Laterite,7.73,Medium,Kharif,Karnataka,Pulses,Banana
Black,8.46,High,Rabi,Maharashtra,Cotton,Cotton
Laterite,5.98,Low,Zaid,Karnataka,Sugarcane,Banana
Loamy,4.68,Medium,Kharif,Punjab,Wheat,Wheat
Red,8.24,Medium,Summer,Tamil Nadu,Groundnut,Banana
Alluvial,6.22,High,Winter,Karnataka,None,Groundnut
Red,6.52,Medium,Zaid,Bihar,Maize,Rice
Laterite,7.69,Low,Kharif,Uttar Pradesh,None,Wheat
Sandy,8.24,Low,Kharif,Karnataka,Cotton,Groundnut
Loamy,6.22,Low,Kharif,Punjab,Sugarcane,Pulses
Loamy,4.58,Low,Zaid,Uttar Pradesh,Pulses,Banana
Black,5.19,Low,Winter,Maharashtra,Wheat,Wheat
Loamy,8.09,Medium,Rabi,Karnataka,Maize,Groundnut
Black,5.62,Low,Rabi,Bihar,Pulses,Groundnut
Laterite,7.19,Low,Kharif,Gujarat,Maize,Pulses
Red,7.12,High,Winter,Uttar Pradesh,Maize,Rice
Clay,8.09,High,Winter,Kerala,Cotton,Cotton
Sandy,6.41,Medium,Kharif,Gujarat,None,Pulses
Black,8.2,High,Zaid,Punjab,Rice,Wheat
Sandy,5.19,Medium,Summer,Bihar,None,Wheat
Black,5.6,High,Winter,Tamil Nadu,Sugarcane,Wheat
Laterite,8.3,High,Zaid,Uttar Pradesh,Sugarcane,Soybean
Sandy,5.96,Medium,Summer,Punjab,Pulses,Soybean
Black,7.31,Low,Rabi,Karnataka,None,Maize
Loamy,7.79,High,Rabi,Telangana,None,Rice
Sandy,6.22,Medium,Zaid,Maharashtra,Cotton,Groundnut
Loamy,5.22,Medium,Rabi,Uttar Pradesh,Cotton,Wheat
Alluvial,6.52,Medium,Kharif,Tamil Nadu,None,Soybean
Sandy,5.51,Medium,Rabi,Kerala,Rice,Maize
Alluvial,5.58,High,Kharif,Maharashtra,Pulses,Cotton
Black,6.84,Medium,Rabi,Uttar Pradesh,Sugarcane,Banana
Black,5.38,High,Kharif,Uttar Pradesh,Rice,Banana
Loamy,7.91,Low,Winter,Maharashtra,Rice,Wheat
Laterite,4.96,Low,Winter,Bihar,Groundnut,Wheat
Laterite,7.18,Medium,Rabi,Gujarat,Groundnut,Rice
Clay,7.34,Low,Kharif,Punjab,None,Soybean
Black,8.01,High,Zaid,Bihar,Pulses,Rice
Red,7.55,High,Zaid,Telangana,Pulses,Cotton
Laterite,5.96,Low,Zaid,Maharashtra,Pulses,Maize
Black,5.05,Low,Zaid,Uttar Pradesh,Wheat,Cotton
Clay,7.34,Medium,Rabi,Uttar Pradesh,Groundnut,Cumin
Red,8.5,Medium,Zaid,Kerala,Wheat,Rice
Clay,4.81,Low,Zaid,Bihar,Wheat,Maize
Alluvial,7.36,Low,Kharif,Kerala,Wheat,Banana
Loamy,5.61,Low,Kharif,Uttar Pradesh,Maize,Cumin
Black,8.27,High,Summer,Gujarat,Rice,Rice
Sandy,5.5,High,Zaid,Tamil Nadu,Pulses,Cotton
Clay,6.49,High,Kharif,Maharashtra,Pulses,Cumin
Clay,6.76,High,Rabi,Telangana,Rice,Pulses
Loamy,5.18,Low,Summer,Karnataka,None,Cotton
Clay,7.1,Low,Rabi,Kerala,Maize,Groundnut
Clay,5.99,Medium,Summer,Haryana,Groundnut,Pulses
Alluvial,4.84,Medium,Rabi,Telangana,Sugarcane,Soybean
Red,5.07,Medium,Rabi,Punjab,Pulses,Groundnut
Laterite,6.99,Medium,Winter,Gujarat,Maize,Wheat
Loamy,8.24,High,Summer,Punjab,Pulses,Maize
Clay,6.12,Medium,Zaid,Kerala,Groundnut,Wheat
Loamy,8.11,High,Zaid,Telangana,Sugarcane,Sugarcane
Clay,5.4,Medium,Zaid,Bihar,Maize,Rice
Red,8.05,Low,Zaid,Karnataka,Wheat,Maize
Sandy,5.83,High,Summer,Punjab,Groundnut,Rice
Black,8.47,Low,Rabi,Kerala,Rice,Cotton
Laterite,7.08,Low,Kharif,Tamil Nadu,Rice,Pulses
Loamy,5.38,Medium,Zaid,Maharashtra,Cotton,Banana
Laterite,8.07,High,Zaid,Kerala,Pulses,Groundnut
Sandy,5.82,Medium,Kharif,Punjab,Maize,Banana
Laterite,6.81,Low,Zaid,Haryana,Sugarcane,Soybean
Red,5.57,Low,Kharif,Haryana,None,Sugarcane
